ID;TITLE;NEIGHBORHOOD;CITY;SQUARE METERS;NUM OF ROOMS;NUM OF BATHROOMS;STREET NAME;STREET NUM;DISTRICT CODE;DISTRICT;RENT PRICE;BUY PRICE;ENERGY CERTIFICATE
6791;Casa o chalet independiente en venta en calle Horche;Aravaca;Madrid;8550;5;80;Calle Horche;;11;Moncloa;84370;2404800;
6792;Piso en venta en Ferraz;Argüelles;Madrid;1280;3;20;Ferraz;;11;Moncloa;2092;685000;E
6793;Piso en venta en calle del Conde de la Cimera;Ciudad Universitaria;Madrid;1630;4;20;Calle del Conde de la Cimera;;11;Moncloa;1973;633000;
6794;Piso en venta en Valdemarín;Moncloa;Madrid;2060;3;30;;;11;Moncloa;2241;753000;E
6795;Casa o chalet independiente en venta en Valdemarín;Moncloa;Madrid;4430;4;50;;;11;Moncloa;8202;1680000;E
6796;Dúplex en venta en Urb. VALDEMARÍN, Valdemarín;Moncloa;Madrid;3570;5;50;Urb. VALDEMARÍN;;11;Moncloa;1059;1300000;
6797;Chalet pareado en venta en El Plantío;Moncloa;Madrid;4000;5;60;;;11;Moncloa;452;1350000;
6798;Casa o chalet independiente en venta en Valdemarín;Moncloa;Madrid;4220;5;50;;;11;Moncloa;8202;1680000;
6799;Piso en venta en Argüelles;Moncloa;Madrid;2640;5;20;;;11;Moncloa;6992;1650000;
6800;Casa o chalet independiente en venta en Aravaca;Moncloa;Madrid;7000;6;50;;;11;Moncloa;8202;1680000;
6801;Casa o chalet independiente en venta en Ciudad Universitaria;Moncloa;Madrid;8350;7;70;;;11;Moncloa;101863;2490000;
6802;Dúplex en venta en Urb. ARAVACA, Aravaca;Moncloa;Madrid;3190;4;60;Urb. ARAVACA;;11;Moncloa;169;1370000;
6803;Casa o chalet independiente en venta en Urb. VALDEMARIN, Valdemarín;Moncloa;Madrid;;8;100;Urb. VALDEMARIN;;11;Moncloa;65933;2300000;
6804;Piso en venta en Ciudad Universitaria;Moncloa;Madrid;320;1;10;;;11;Moncloa;813;169000;
6805;Ático en venta en Valdemarín;Moncloa;Madrid;2360;4;30;;;11;Moncloa;2445;870000;D
6806;Chalet pareado en venta en Urb. VALDEMARÍN, Valdemarín;Moncloa;Madrid;2700;3;50;Urb. VALDEMARÍN;;11;Moncloa;1225;1450000;
6807;Piso en venta en Argüelles;Moncloa;Madrid;1580;3;20;;;11;Moncloa;2012;650000;
6808;Piso en venta en Argüelles;Moncloa;Madrid;2150;4;20;;;11;Moncloa;2331;799000;
6809;Casa o chalet independiente en venta en Valdemarín;Moncloa;Madrid;3700;4;50;;;11;Moncloa;8202;1680000;B
6810;Casa o chalet independiente en venta en El Plantío;Moncloa;Madrid;6600;6;60;;;11;Moncloa;20661;1900000;
6811;Casa o chalet independiente en venta en El Plantío;Moncloa;Madrid;;7;80;;;11;Moncloa;104074;2500000;
6812;Casa o chalet independiente en venta en El Plantío;Moncloa;Madrid;9000;8;70;;;11;Moncloa;11444;1750000;
6813;Chalet adosado en venta en calle Valle de Arán;Ciudad Universitaria;Madrid;3500;6;50;Calle Valle de Arán;;11;Moncloa;1165;1290000;
6814;Chalet pareado en venta en Aravaca;Moncloa;Madrid;3000;4;40;;;11;Moncloa;2510;998000;
6815;Piso en venta en calle San Martín de Porres, Madrid;Ciudad Universitaria;Madrid;1250;2;20;Calle San Martín de Porres, Madrid;;11;Moncloa;1781;550000;
6816;Casa o chalet independiente en venta en Urb. La Florida, El Plantío;Moncloa;Madrid;9900;7;70;Urb. La Florida;;11;Moncloa;11444;1750000;E
6817;Piso en venta en Argüelles;Moncloa;Madrid;2140;3;30;;;11;Moncloa;2347;1100000;
6818;Piso en venta en Argüelles;Moncloa;Madrid;1600;3;30;;;11;Moncloa;2012;650000;D
6819;Piso en venta en Ciudad Universitaria;Moncloa;Madrid;3600;5;40;;;11;Moncloa;2165;1150000;
6820;Piso en venta en Aravaca;Moncloa;Madrid;2140;3;20;;;11;Moncloa;1313;1275000;
6821;Casa o chalet independiente en venta en GUECHO;El Plantío;Madrid;8250;7;60;GUECHO;;11;Moncloa;115653;2550000;A
6822;Piso en venta en DOCTOR JUAN JOSE LOPEZ IBOR;Ciudad Universitaria;Madrid;1060;2;10;DOCTOR JUAN JOSE LOPEZ IBOR;;11;Moncloa;1508;430000;
6823;Piso en venta en calle de la Princesa;Argüelles;Madrid;510;1;10;Calle de la Princesa;;11;Moncloa;1553;450000;
6824;Piso en venta en calle de San Gerardo;Valdezarza;Madrid;740;3;10;Calle de San Gerardo;;11;Moncloa;1174;290000;
6825;Chalet pareado en venta en Aravaca;Moncloa;Madrid;3700;5;50;;;11;Moncloa;2374;1090000;
6826;Piso en venta en calle Valdeverdeja;Valdezarza;Madrid;820;2;10;Calle Valdeverdeja;;11;Moncloa;1549;448000;
6827;Piso en venta en Argüelles;Moncloa;Madrid;2190;4;30;;;11;Moncloa;2514;950000;E
6828;Casa o chalet independiente en venta en Casa de Campo;Moncloa;Madrid;2450;5;30;;;11;Moncloa;4391;1575000;E
6829;Piso en venta en Argüelles;Moncloa;Madrid;1110;3;20;;;11;Moncloa;1966;630000;E
6830;Chalet adosado en venta en Casa de Campo;Moncloa;Madrid;2240;3;30;;;11;Moncloa;2509;1000000;E
6831;Chalet pareado en venta en El Plantío;Moncloa;Madrid;3350;5;40;;;11;Moncloa;2514;950000;E
6832;Casa o chalet independiente en venta en El Plantío;Moncloa;Madrid;3620;5;30;;;11;Moncloa;1731;1225000;E
6833;Casa o chalet independiente en venta en Valdemarín;Moncloa;Madrid;;7;60;;;11;Moncloa;205750;2850000;E
6834;Casa o chalet independiente en venta en calle Amorebieta, 25;El Plantío;Madrid;;7;80;Calle Amorebieta;25;11;Moncloa;64974;2294000;
6835;Ático en venta en calle Ferraz, 41;Argüelles;Madrid;1750;3;30;Calle Ferraz;41;11;Moncloa;62726;2279700;
6836;Piso en venta en Argüelles;Moncloa;Madrid;1510;4;20;;;11;Moncloa;2245;755000;E
6837;Chalet adosado en venta en Aravaca;Moncloa;Madrid;2460;3;50;;;11;Moncloa;2285;775000;E
6838;Casa o chalet independiente en venta en Aravaca;Moncloa;Madrid;;16;100;;;11;Moncloa;188041;2800000;E
6839;Casa o chalet independiente en venta en Aravaca;Moncloa;Madrid;6400;9;90;;;11;Moncloa;104074;2500000;E
6840;Piso en venta en Valdemarín;Moncloa;Madrid;1550;4;40;;;11;Moncloa;2515;955000;
6841;Ático en venta en Aravaca;Moncloa;Madrid;2320;3;40;;;11;Moncloa;2517;975000;E
6842;Chalet pareado en venta en Valdemarín;Moncloa;Madrid;4050;3;30;;;11;Moncloa;6992;1650000;C
6843;Ático en venta en calle Ferraz, 41;Argüelles;Madrid;2390;2;20;Calle Ferraz;41;11;Moncloa;19213;1879700;
6844;Casa o chalet independiente en venta en Aravaca;Moncloa;Madrid;6060;6;50;;;11;Moncloa;2333;1500000;E
6845;Piso en venta en calle Ferraz, 41;Argüelles;Madrid;2180;2;20;Calle Ferraz;41;11;Moncloa;2495;1019900;
6846;Piso en venta en calle Ferraz;Argüelles;Madrid;2780;6;30;Calle Ferraz;;11;Moncloa;2514;990000;
6847;Ático en venta en calle de Juan Álvarez Mendizábal;Argüelles;Madrid;1160;3;20;Calle de Juan Álvarez Mendizábal;;11;Moncloa;1839;575000;E
6848;Chalet pareado en venta en avenida de Valdemarín;Valdemarín;Madrid;4060;3;30;Avenida de Valdemarín;;11;Moncloa;303;1400000;B
6849;Ático en venta en calle de Juan Álvarez Mendizábal;Argüelles;Madrid;1160;3;20;Calle de Juan Álvarez Mendizábal;;11;Moncloa;1839;575000;G
6850;Piso en venta en calle Felipe Moratilla;Casa de Campo;Madrid;660;2;10;Calle Felipe Moratilla;;11;Moncloa;994;225000;
6851;Piso en venta en calle de la Princesa;Argüelles;Madrid;800;1;10;Calle de la Princesa;;11;Moncloa;1735;530000;
6852;Piso en venta en Valdemarin;Valdemarín;Madrid;2340;3;30;Valdemarin;;11;Moncloa;2470;890000;E
6853;Piso en venta en Valdemarín;Moncloa;Madrid;2680;5;40;;;11;Moncloa;2096;1490000;
6854;Casa o chalet independiente en venta en Urb. diplomaticos, Aravaca;Moncloa;Madrid;6640;8;70;Urb. diplomaticos;;11;Moncloa;51191;2200000;
6855;Piso en venta en calle de Ferraz;Argüelles;Madrid;1390;5;20;Calle de Ferraz;;11;Moncloa;1948;622000;
6856;Piso en venta en calle de la Princesa;Argüelles;Madrid;2180;4;40;Calle de la Princesa;;11;Moncloa;303;1400000;
6858;Casa o chalet independiente en venta en Colonia Santa María, Madrid;Aravaca;Madrid;2240;5;30;Colonia Santa María, Madrid;;11;Moncloa;2445;870000;
6859;Casa o chalet independiente en venta en Urb. La Florida, El Plantío;Moncloa;Madrid;9800;5;60;Urb. La Florida;;11;Moncloa;104074;2500000;
6860;Dúplex en venta en calle Peñalara de Aravaca, 5;Aravaca;Madrid;2460;3;20;Calle Peñalara de Aravaca;5;11;Moncloa;2285;775000;
6861;Piso en venta en calle de la Princesa;Argüelles;Madrid;2800;4;60;Calle de la Princesa;;11;Moncloa;3939;1560000;
6862;Piso en venta en calle vinas de el pardo, 2;Valdemarín;Madrid;2420;4;30;Calle vinas de el pardo;2;11;Moncloa;2352;810000;B
6863;Piso en venta en Fuente del Peral;Aravaca;Madrid;2240;5;40;Fuente del Peral;;11;Moncloa;1931;1195000;
6864;Piso en venta en calle del Tutor;Argüelles;Madrid;780;1;10;Calle del Tutor;;11;Moncloa;1528;439000;
6865;Chalet pareado en venta en RAFAEL VILLA;El Plantío;Madrid;3400;4;40;RAFAEL VILLA;;11;Moncloa;2126;700000;
6866;Piso en venta en calle del Marqués de Urquijo;Argüelles;Madrid;2080;4;20;Calle del Marqués de Urquijo;;11;Moncloa;2504;930000;E
6867;Piso en venta en avenida de la Reina Victoria;Ciudad Universitaria;Madrid;700;2;20;Avenida de la Reina Victoria;;11;Moncloa;1416;390000;E
6868;Piso en venta en calle Luisa Fernanda;Argüelles;Madrid;2150;4;30;Calle Luisa Fernanda;;11;Moncloa;2331;799000;
6869;Piso en venta en calle de la Princesa, Madrid;Argüelles;Madrid;2560;5;40;Calle de la Princesa, Madrid;;11;Moncloa;452;1350000;
6870;Casa o chalet independiente en venta en Valdemarín;Moncloa;Madrid;;7;80;;;11;Moncloa;65933;2300000;D
6871;Piso en venta en Valdezarza;Moncloa;Madrid;960;2;20;;;11;Moncloa;1462;410000;
6872;Piso en venta en Ciudad Universitaria;Moncloa;Madrid;2620;5;30;;;11;Moncloa;2516;960000;
6873;Chalet adosado en venta en Casa de Campo;Moncloa;Madrid;2420;4;40;;;11;Moncloa;2514;990000;
6874;Chalet pareado en venta en Urb. Aravaca, Aravaca;Moncloa;Madrid;5600;5;60;Urb. Aravaca;;11;Moncloa;11444;1750000;E
6875;Chalet adosado en venta en Aravaca;Moncloa;Madrid;3500;6;60;;;11;Moncloa;140;1390000;
6876;Piso en venta en Argüelles;Moncloa;Madrid;5000;4;30;;;11;Moncloa;65933;2300000;
6877;Piso en venta en paseo Rinconada;Aravaca;Madrid;3050;5;40;Paseo Rinconada;;11;Moncloa;452;1350000;
6878;Casa o chalet independiente en venta en calle Sirrach;Aravaca;Madrid;6000;6;30;Calle Sirrach;;11;Moncloa;2333;1500000;
6879;Casa o chalet independiente en venta en Ciudad Universitaria;Moncloa;Madrid;7500;5;60;;;11;Moncloa;104074;2500000;C
6880;Piso en venta en calle de San Gerardo;Valdezarza;Madrid;1180;3;30;Calle de San Gerardo;;11;Moncloa;1370;370000;E
6881;Dúplex en venta en calle Araiz;Aravaca;Madrid;2080;3;30;Calle Araiz;;11;Moncloa;2470;890000;D
6882;Dúplex en venta en calle Vascos, 24;Ciudad Universitaria;Madrid;4000;4;30;Calle Vascos;24;11;Moncloa;2485;904800;
6883;Piso en venta en Valdemarín;Moncloa;Madrid;2680;5;40;;;11;Moncloa;2096;1490000;
6884;Piso en venta en calle Peñalara de Aravaca, 5;Aravaca;Madrid;1430;3;20;Calle Peñalara de Aravaca;5;11;Moncloa;1966;630000;
6885;Piso en venta en Urb. Argüelles Everyprop.com, Argüelles;Moncloa;Madrid;1600;4;20;Urb. Argüelles Everyprop.com;;11;Moncloa;2012;650000;C
6886;Piso en venta en calle Doctor Balmis, 1;Aravaca;Madrid;2040;3;30;Calle Doctor Balmis;1;11;Moncloa;9067;1700000;
6887;Ático en venta en calle Doctor Balmis, 1;Aravaca;Madrid;2800;3;30;Calle Doctor Balmis;1;11;Moncloa;3649;1550000;
6888;Piso en venta en calle Doctor Balmis, 1;Aravaca;Madrid;2170;3;30;Calle Doctor Balmis;1;11;Moncloa;452;1350000;
6889;Piso en venta en paseo del Comandante Fortea;Casa de Campo;Madrid;1000;3;20;Paseo del Comandante Fortea;;11;Moncloa;1108;265000;E
6890;Piso en venta en calle de Aguilar de Campóo;Valdezarza;Madrid;750;3;10;Calle de Aguilar de Campóo;;11;Moncloa;929;204000;F
6891;Piso en venta en calle de Cabellera de Berenice, 67;Valdemarín;Madrid;1000;2;20;Calle de Cabellera de Berenice;67;11;Moncloa;1770;545000;C
6892;Casa o chalet en venta en calle Segundo Anca, 9;El Plantío;Madrid;4000;6;50;Calle Segundo Anca;9;11;Moncloa;2479;899000;
6893;Chalet pareado en venta en calle Brújula, 40;Aravaca;Madrid;4420;6;50;Calle Brújula;40;11;Moncloa;2165;1150000;D
6894;Piso en venta en calle de Francos Rodríguez, 94;Valdezarza;Madrid;860;2;10;Calle de Francos Rodríguez;94;11;Moncloa;1174;290000;D
6895;Piso en venta en calle Santiago Rusiñol;Ciudad Universitaria;Madrid;1840;4;30;Calle Santiago Rusiñol;;11;Moncloa;2203;735000;
6896;Casa o chalet independiente en venta en AMOREBIETA;El Plantío;Madrid;;7;60;AMOREBIETA;;11;Moncloa;172372;2752800;E
6897;Piso en venta en avenida de europa;Aravaca;Madrid;1330;3;20;Avenida de europa;;11;Moncloa;1989;640000;
6898;Piso en venta en calle de Estanislao Figueras;Argüelles;Madrid;1020;3;10;Calle de Estanislao Figueras;;11;Moncloa;1122;270000;
6899;Chalet pareado en venta en camino Lavadero;Valdemarín;Madrid;2700;3;40;Camino Lavadero;;11;Moncloa;452;1350000;C
6900;Casa o chalet en venta en Urb. ROSA LUXEMBURGO, Aravaca;Moncloa;Madrid;1840;6;40;Urb. ROSA LUXEMBURGO;;11;Moncloa;1862;585000;D
6901;Casa o chalet en venta en Aravaca;Moncloa;Madrid;2040;3;30;;;11;Moncloa;1850;580000;D
6902;Chalet pareado en venta en Urb. Aravaca Everyprop.com, Aravaca;Moncloa;Madrid;3060;5;50;Urb. Aravaca Everyprop.com;;11;Moncloa;2510;998000;C
6903;Ático en venta en Argüelles;Moncloa;Madrid;1290;3;10;;;11;Moncloa;1966;630000;
6904;Casa o chalet independiente en venta en Urb. Puerta de Hierro Everyprop.com, Ciudad Universitaria;Moncloa;Madrid;6750;6;60;Urb. Puerta de Hierro Everyprop.com;;11;Moncloa;999433;3950000;C
6905;Casa o chalet independiente en venta en Urb. El Plantío Everyprop.com, El Plantío;Moncloa;Madrid;9180;6;60;Urb. El Plantío Everyprop.com;;11;Moncloa;28833;2000000;C
6906;Piso en venta en Ciudad Universitaria;Moncloa;Madrid;2770;5;50;;;11;Moncloa;452;1350000;
6907;Piso en venta en Argüelles;Moncloa;Madrid;1630;7;20;;;11;Moncloa;2081;680000;
6908;Casa o chalet independiente en venta en Valdemarín;Moncloa;Madrid;4000;5;60;;;11;Moncloa;13864;1795000;
6909;Casa o chalet independiente en venta en Valdemarín;Moncloa;Madrid;4000;5;60;;;11;Moncloa;13864;1795000;
6910;Chalet adosado en venta en Ciudad Universitaria;Moncloa;Madrid;1020;3;10;;;11;Moncloa;2470;890000;
6911;Piso en venta en Argüelles;Moncloa;Madrid;790;2;10;;;11;Moncloa;1094;260000;
6912;Chalet pareado en venta en Valdemarín;Moncloa;Madrid;4250;3;30;;;11;Moncloa;2333;1500000;C
6913;Piso en venta en avenida de la Reina Victoria;Ciudad Universitaria;Madrid;2620;5;30;Avenida de la Reina Victoria;;11;Moncloa;2516;960000;
6914;Piso en venta en calle de Sánchez Preciado;Valdezarza;Madrid;700;3;10;Calle de Sánchez Preciado;;11;Moncloa;780;159900;
6915;Piso en venta en Aravaca;Moncloa;Madrid;1600;4;30;;;11;Moncloa;1551;449000;D
6916;Piso en venta en Argüelles;Moncloa;Madrid;2100;6;20;;;11;Moncloa;2512;945000;G
6917;Piso en venta en Aravaca;Moncloa;Madrid;910;3;20;;;11;Moncloa;1320;349000;D
6918;Casa o chalet en venta en Ciudad Universitaria;Moncloa;Madrid;7880;6;70;;;11;Moncloa;65933;2300000;G
6919;Piso en venta en calle de Martín de los Heros;Argüelles;Madrid;580;2;10;Calle de Martín de los Heros;;11;Moncloa;1196;298500;F
6920;Ático en venta en Ciudad Universitaria;Moncloa;Madrid;2000;5;30;;;11;Moncloa;2386;830000;G
6921;Chalet adosado en venta en Urb. Aravaca, Aravaca;Moncloa;Madrid;2600;5;50;Urb. Aravaca;;11;Moncloa;2103;690000;B
6922;Casa o chalet independiente en venta en Valdemarín;Moncloa;Madrid;7370;6;60;;;11;Moncloa;98610;2475000;
6923;Ático en venta en Argüelles;Moncloa;Madrid;1160;3;20;;;11;Moncloa;1839;575000;
6924;Chalet pareado en venta en Urb. Aravaca, Aravaca;Moncloa;Madrid;3000;5;40;Urb. Aravaca;;11;Moncloa;2510;998000;E
6925;Chalet pareado en venta en Ciudad Universitaria;Moncloa;Madrid;4630;4;50;;;11;Moncloa;221;1395000;C
6926;Piso en venta en calle de Aguilar de Campóo;Valdezarza;Madrid;640;3;10;Calle de Aguilar de Campóo;;11;Moncloa;830;174000;G
6927;Casa o chalet en venta en Valdemarín;Moncloa;Madrid;;7;90;;;11;Moncloa;224653;2900000;
6928;Chalet pareado en venta en Urb. Aravaca, Aravaca;Moncloa;Madrid;5980;6;70;Urb. Aravaca;;11;Moncloa;51191;2200000;C
6929;Casa o chalet en venta en calle Zenit, 18;Aravaca;Madrid;9200;9;70;Calle Zenit;18;11;Moncloa;24524;1950000;
6930;Piso en venta en paseo de la Maestra María Sánchez Árbos;Valdezarza;Madrid;830;2;10;Paseo de la Maestra María Sánchez Árbos;;11;Moncloa;1058;247000;
6931;Piso en venta en calle de Juan Álvarez Mendizábal;Argüelles;Madrid;500;1;10;Calle de Juan Álvarez Mendizábal;;11;Moncloa;916;199900;
6932;Piso en venta en calle de Juan Álvarez Mendizábal;Argüelles;Madrid;710;3;20;Calle de Juan Álvarez Mendizábal;;11;Moncloa;1108;265000;
6933;Piso en venta en calle del Níscalo, 5;Valdemarín;Madrid;2330;4;40;Calle del Níscalo;5;11;Moncloa;2510;940000;D
6934;Casa o chalet en venta en calle Ochandiano;El Plantío;Madrid;3870;8;70;Calle Ochandiano;;11;Moncloa;1894;599000;E
6935;Piso en venta en calle de la Ribera del Manzanares;Casa de Campo;Madrid;580;3;10;Calle de la Ribera del Manzanares;;11;Moncloa;964;215000;G
6936;Casa o chalet independiente en venta en calle Horche;Aravaca;Madrid;8600;6;60;Calle Horche;;11;Moncloa;84217;2404000;
6937;Piso en venta en calle de San Restituto;Valdezarza;Madrid;920;2;20;Calle de San Restituto;;11;Moncloa;1355;363500;
6938;Estudio en venta en Aravaca;Moncloa;Madrid;1380;0;10;;;11;Moncloa;1553;450000;E
6939;Chalet pareado en venta en Aravaca;Moncloa;Madrid;3300;5;60;;;11;Moncloa;2464;885000;
6940;Piso en venta en Aravaca;Moncloa;Madrid;1500;4;30;;;11;Moncloa;2402;840000;
6941;Casa o chalet independiente en venta en Urb. CAMARINES, Aravaca;Moncloa;Madrid;6400;9;70;Urb. CAMARINES;;11;Moncloa;104074;2500000;
6942;Piso en venta en Aravaca;Moncloa;Madrid;1400;3;20;;;11;Moncloa;1955;625000;
6943;Piso en venta en calle Madrigal, 16;Ciudad Universitaria;Madrid;2650;4;50;Calle Madrigal;16;11;Moncloa;9067;1700000;B
6944;Piso en venta en calle Felipe Moratilla;Casa de Campo;Madrid;1140;3;20;Calle Felipe Moratilla;;11;Moncloa;1370;370000;
6945;Piso en venta en paseo de la Florida, 45;Casa de Campo;Madrid;900;3;10;Paseo de la Florida;45;11;Moncloa;1358;365000;
6946;Chalet pareado en venta en Valdezarza;Moncloa;Madrid;3200;5;40;;;11;Moncloa;2497;920000;
6947;Piso en venta en paseo del Pintor Rosales;Argüelles;Madrid;2800;5;30;Paseo del Pintor Rosales;;11;Moncloa;19939;1890000;
6948;Casa o chalet independiente en venta en Urb. Puerta de Hierro, Ciudad Universitaria;Moncloa;Madrid;8000;6;70;Urb. Puerta de Hierro;;11;Moncloa;104074;2500000;
6949;Piso en venta en calle de Santa Pola;Casa de Campo;Madrid;850;3;10;Calle de Santa Pola;;11;Moncloa;1067;250000;
6950;Piso en venta en Argüelles;Moncloa;Madrid;1160;3;20;;;11;Moncloa;1839;575000;
6951;Piso en venta en calle de Ferraz;Argüelles;Madrid;3170;5;50;Calle de Ferraz;;11;Moncloa;20661;1900000;C
6952;Piso en venta en avenida Valladolid, 9;Casa de Campo;Madrid;700;3;10;Avenida Valladolid;9;11;Moncloa;1061;248000;
6953;Piso en venta en calle del Marqués de Urquijo;Argüelles;Madrid;2000;4;20;Calle del Marqués de Urquijo;;11;Moncloa;2470;890000;
6954;Piso en venta en avenida Valladolid, 9;Casa de Campo;Madrid;700;3;10;Avenida Valladolid;9;11;Moncloa;1061;248000;
6955;Piso en venta en Casa de Campo;Moncloa;Madrid;540;1;10;;;11;Moncloa;1323;350000;
6956;Chalet adosado en venta en Aravaca;Moncloa;Madrid;3500;7;50;;;11;Moncloa;1739;1224000;
6957;Chalet pareado en venta en Valdemarín;Moncloa;Madrid;3000;4;40;;;11;Moncloa;5194;1600000;A
6958;Piso en venta en calle de Ferraz;Argüelles;Madrid;2100;4;30;Calle de Ferraz;;11;Moncloa;2514;990000;
6959;Casa o chalet independiente en venta en calle turégano, 1;Ciudad Universitaria;Madrid;;8;80;Calle turégano;1;11;Moncloa;1823000;4500000;E
6960;Piso en venta en Aravaca;Moncloa;Madrid;800;1;10;;;11;Moncloa;1358;365000;
6961;Chalet pareado en venta en Ciudad Universitaria;Moncloa;Madrid;3750;6;50;;;11;Moncloa;2464;885000;
6962;Chalet adosado en venta en Aravaca;Moncloa;Madrid;3000;5;50;;;11;Moncloa;2417;850000;
6963;Casa o chalet independiente en venta en Valdemarín;Moncloa;Madrid;5090;3;40;;;11;Moncloa;6992;1650000;E
6964;Chalet adosado en venta en Ciudad Universitaria;Moncloa;Madrid;4300;6;50;;;11;Moncloa;2517;975000;
6965;Casa o chalet independiente en venta en Urb. LA FLORIDA, El Plantío;Moncloa;Madrid;;7;50;Urb. LA FLORIDA;;11;Moncloa;58234;2250000;
6966;Piso en venta en Argüelles;Moncloa;Madrid;2120;4;40;;;11;Moncloa;2347;1100000;D
6967;Ático en venta en Aravaca;Moncloa;Madrid;2210;4;30;;;11;Moncloa;2497;920000;E
6968;Ático en venta en calle Juan Álvarez Mendizábal, Madrid;Argüelles;Madrid;1160;3;20;Calle Juan Álvarez Mendizábal, Madrid;;11;Moncloa;1839;575000;G
6969;Casa o chalet independiente en venta en Ciudad Universitaria;Moncloa;Madrid;8350;7;70;;;11;Moncloa;101863;2490000;
6970;Piso en venta en Argüelles;Moncloa;Madrid;1110;3;30;;;11;Moncloa;1966;630000;
6971;Piso en venta en calle Madrigal, 16;Ciudad Universitaria;Madrid;2550;3;40;Calle Madrigal;16;11;Moncloa;5194;1600000;B
6972;Casa o chalet independiente en venta en Urb. LA FLORIDA, El Plantío;Moncloa;Madrid;;6;80;Urb. LA FLORIDA;;11;Moncloa;205750;2850000;
6973;Chalet pareado en venta en calle Navalmanzano, 11;Ciudad Universitaria;Madrid;4180;5;60;Calle Navalmanzano;11;11;Moncloa;38920;2100000;
6974;Ático en venta en calle de Juan Álvarez Mendizábal;Argüelles;Madrid;1120;3;20;Calle de Juan Álvarez Mendizábal;;11;Moncloa;1839;575000;
6975;Piso en venta en calle de Martín de los Heros;Argüelles;Madrid;730;2;10;Calle de Martín de los Heros;;11;Moncloa;1135;275000;F
6976;Piso en venta en calle Azuaga;Valdezarza;Madrid;730;3;10;Calle Azuaga;;11;Moncloa;894;193000;
6977;Casa o chalet en venta en ronda Buganvilla del Rey, 19;Aravaca;Madrid;3530;5;50;Ronda Buganvilla del Rey;19;11;Moncloa;2504;929000;C
6978;Piso en venta en calle de Valderrey;Valdezarza;Madrid;830;3;10;Calle de Valderrey;;11;Moncloa;1067;250000;
6979;Piso en venta en calle del Arquitecto Sánchez Arcas, 7;Ciudad Universitaria;Madrid;1360;5;30;Calle del Arquitecto Sánchez Arcas;7;11;Moncloa;2291;778000;B
6980;Piso en venta en calle Felipe Moratilla;Casa de Campo;Madrid;660;2;10;Calle Felipe Moratilla;;11;Moncloa;948;210000;D
6981;Piso en venta en avenida de Juan Andrés, 38;Valdezarza;Madrid;810;2;10;Avenida de Juan Andrés;38;11;Moncloa;1061;248000;E
6982;Casa o chalet en venta en ronda Buganvilla del Rey, 34;Aravaca;Madrid;2020;5;60;Ronda Buganvilla del Rey;34;11;Moncloa;2514;950000;D
6983;Piso en venta en calle de Artajona;Valdezarza;Madrid;630;2;10;Calle de Artajona;;11;Moncloa;746;150600;
6984;Chalet pareado en venta en Ciudad Universitaria;Moncloa;Madrid;2850;5;40;;;11;Moncloa;2224;745000;E
6985;Piso en venta en Argüelles;Moncloa;Madrid;5510;8;50;;;11;Moncloa;51191;2200000;
6986;Piso en venta en calle de Martín de los Heros;Argüelles;Madrid;830;2;30;Calle de Martín de los Heros;;11;Moncloa;948;210000;F
6987;Casa o chalet independiente en venta en calle de José Fentanes, 47;Ciudad Universitaria;Madrid;3400;4;30;Calle de José Fentanes;47;11;Moncloa;2224;745000;
6988;Piso en venta en avenida del talgo;Aravaca;Madrid;1320;3;20;Avenida del talgo;;11;Moncloa;1781;550000;
6989;Chalet adosado en venta en Aravaca;Moncloa;Madrid;3000;4;30;;;11;Moncloa;2470;890000;
6990;Dúplex en venta en calle Altozano, 2;Aravaca;Madrid;920;2;30;Calle Altozano;2;11;Moncloa;1428;395000;
6991;Piso en venta en calle Altozano, 2;Aravaca;Madrid;540;1;10;Calle Altozano;2;11;Moncloa;1009;230000;
6992;Piso en venta en calle Altozano, 2;Aravaca;Madrid;840;2;20;Calle Altozano;2;11;Moncloa;1382;375000;
6993;Dúplex en venta en carretera de Húmera, 8;Aravaca;Madrid;1750;4;30;Carretera de Húmera;8;11;Moncloa;1919;609700;
6994;Casa o chalet independiente en venta en El Plantío;Moncloa;Madrid;;10;130;;;11;Moncloa;266250;3000000;
6995;Casa o chalet independiente en venta en miraflores;Ciudad Universitaria;Madrid;6400;5;70;miraflores;;11;Moncloa;83453;2400000;
6996;Chalet adosado en venta en Aravaca;Moncloa;Madrid;2450;3;20;;;11;Moncloa;2402;840000;
6997;Chalet adosado en venta en Aravaca;Moncloa;Madrid;3020;4;40;;;11;Moncloa;2285;775000;
6998;Piso en venta en Valdezarza;Moncloa;Madrid;600;2;10;;;11;Moncloa;877;187900;
6999;Casa o chalet independiente en venta en Valdemarín;Moncloa;Madrid;4100;5;50;;;11;Moncloa;2834;1520000;
7000;Piso en venta en Arriaza;Argüelles;Madrid;1500;5;20;Arriaza;;11;Moncloa;1655;494900;
7001;Piso en venta en Aravaca;Moncloa;Madrid;1850;4;40;;;11;Moncloa;2516;980000;
7002;Piso en venta en calle de las Rosas de Aravaca;Aravaca;Madrid;1050;3;20;Calle de las Rosas de Aravaca;;11;Moncloa;1758;540000;
7003;Dúplex en venta en calle Ardales;Aravaca;Madrid;2300;3;40;Calle Ardales;;11;Moncloa;2517;975000;
