PK,NOMBRE,HORARIO,NUMERO-PLAZAS,ACCESIBILIDAD,CLASE-VIAL,CALLE_ID,CODIGO-POSTAL,BARRIO,same_as_wikidata_BARRIO,BARRIO_ID,DISTRITO,same_as_wikidata_DISTRITO
13454,Aparcamiento público. Plaza de Colón,,611,Accesible,Calle Goya,CalleGoya,28001,Recoletos,https://wikidata.org/entity/Q3814551,Recoletos,Salamanca,https://wikidata.org/entity/Q1773521
13463,Aparcamiento público. Plaza de España,,800,No accesible,Plaza España,PlazaEspaña,28008,Palacio,https://wikidata.org/entity/Q2136510,Palacio,Centro,https://wikidata.org/entity/Q1763376
13472,Aparcamiento público. Plaza del Carmen (cerrado),,450,No accesible,Plaza Carmen,PlazaCarmen,28013,Sol,https://wikidata.org/entity/Q2465181,Sol,Centro,https://wikidata.org/entity/Q1763376
13474,Aparcamiento público. Plaza del Rey,,170,No accesible,Plaza Rey,PlazaRey,28004,Justicia,https://wikidata.org/entity/Q1992319,Justicia,Centro,https://wikidata.org/entity/Q1763376
11750494,Aparcamiento público. San Epifanio,,501,Accesible,Calle San Epifanio,CalleSanEpifanio,28005,Imperial,https://wikidata.org/entity/Q3773740,Imperial,Arganzuela,https://wikidata.org/entity/Q2000929
13456,Aparcamiento público. Santa Ana,,325,Accesible,Plaza Santa Ana,PlazaSantaAna,28012,Cortes,https://wikidata.org/entity/Q2535637,Cortes,Centro,https://wikidata.org/entity/Q1763376
10737574,Aparcamiento público. Usera,,36,No accesible,Calle Amparo Usera,CalleAmparoUsera,28026,Moscardó,https://wikidata.org/entity/Q11937679,Moscardó,Usera,https://wikidata.org/entity/Q953368
13468,Aparcamiento público. Velázquez - Juan Bravo,,371,Accesible,Calle Velázquez,CalleVelázquez,28006,Castellana,https://wikidata.org/entity/Q4781,Castellana,Salamanca,https://wikidata.org/entity/Q1773521
13453,Aparcamiento público. Villa de París,,169,Accesible,Plaza Villa De París,PlazaVillaDeParís,28004,Justicia,https://wikidata.org/entity/Q1992319,Justicia,Centro,https://wikidata.org/entity/Q1763376
,,,,,,,,,,,,
