ID_Punto,DISTRITO,WIKIDATA_DISTRITO,BARRIO,WIKIDATA_BARRIO,ID_BARRIO,UBICACIÓN,CALLE,CALLE_ID,Nº_EQUIPOS,Mennekes_KW,CHAdeMO_KW,CCS_KW,Mennekes_Conectores,CHAdeMO_Conectores,CCS_Conectores,OPERADOR,FECHA_ALTA,HORARIO
25_VP,Ciudad Lineal,https://wikidata.org/entity/Q1763694,San Juan Bautista,https://wikidata.org/entity/Q165609,SanJuanBautista,Calle Bueso Pineda 29,Calle Bueso Pineda,CalleBuesoPineda,1,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,"24"
01_CoCe18,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,Palacio,Plaza de la Cebada,Plaza de la Cebada,PlazadelaCebada,1,,50,50,0,2,2,DRIVE THE CITY,2022-02-03T15:21:24Z,"24"
02_CoCe18,Chamartín,https://wikidata.org/entity/Q1766348,Nueva España,https://wikidata.org/entity/Q10338128,NuevaEspaña,"Calle Mateo Inurria, 4",Calle Mateo Inurria,CalleMateoInurria,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
03_CoCe18,Tetuán,https://wikidata.org/entity/Q1773540,Berruguete,https://wikidata.org/entity/Q11909208,Berruguete,"Calle Ofelia Nieto, 64",Calle Ofelia Nieto,CalleOfeliaNieto,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
04_CoCe18,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,Valverde,https://wikidata.org/entity/Q31132,Valverde,Calle Abetal 8,Calle Abetal,CalleAbetal,2,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
05_CoCe18,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Ciudad Universitaria,https://wikidata.org/entity/Q3319235,CiudadUniversitaria,Hipódromo,Hipódromo,Hipódromo,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
06_CoCe18,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,El Plantío,https://wikidata.org/entity/Q3773742,ElPlantío,El Plantío,El Plantío,ElPlantío,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
07_CoCe18,Latina,https://wikidata.org/entity/Q794954,Cuatro Vientos,https://wikidata.org/entity/Q5191881,CuatroVientos,Paseo de Extremadura 543,Paseo de Extremadura,PaseodeExtremadura,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
08_CoCe18,Latina,https://wikidata.org/entity/Q794954,Cuatro Vientos,https://wikidata.org/entity/Q5191881,CuatroVientos,Avenida de la Peseta,Avenida de la Peseta,AvenidadelaPeseta,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
09_CoCe18,Latina,https://wikidata.org/entity/Q794954,Las Águilas,https://wikidata.org/entity/Q5971372,Águilas,Calle de José Cadalso,Calle de José Cadalso,CalledeJoséCadalso,1,50,50,50,1,2,2,DRIVE THE CITY,2022-02-03T15:21:24Z,"24"
10_CoCe18,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Palomeras Sureste,https://wikidata.org/entity/Q10343901,PalomerasSureste,Avenida de la Albufera 319,Avenida de la Albufera,AvenidadelaAlbufera,2,50,50,50,1,2,2,ECOLINERAS,2022-02-03T15:21:24Z,"24"
11_CoCe18,Hortaleza,https://wikidata.org/entity/Q1928529,Valdefuentes,https://wikidata.org/entity/Q10388714,Valdefuentes,Calle de María de Portugal 15,Calle de María de Portugal,CalledeMaríadePortugal,1,50,50,50,1,2,2,IBERDROLA,2022-02-03T15:21:24Z,"24"
12_CoCe18,Villaverde,https://wikidata.org/entity/Q919536,Butarque,https://wikidata.org/entity/Q390453,Butarque,Avenida de los Rosales 147 M-301,Avenida de los Rosales,AvenidadelosRosales,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
13_CoCe18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Ensanche de Vallecas,https://wikidata.org/entity/Q3847485,EnsanchedeVallecas,"Calle Real de Arganda, 75",Calle Real de Arganda,CalleRealdeArganda,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
14_CoCe18,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,Rejas,https://wikidata.org/entity/Q10359029,Rejas,"Calle de Fuentelencina, 50",Calle de Fuentelencina,CalledeFuentelencina,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,"24"
