ESTACION,ID_Punto,DISTRITO,BARRIO,ID_BARRIO,UBICACIÓN,CALLE,CALLE_ID,Nº_EQUIPOS,Mennekes_KW,CHAdeMO_KW,CCS_KW,Mennekes_Conectores,CHAdeMO_Conectores,CCS_Conectores,OPERADOR,FECHA_ALTA,HORARIO
Punto de carga 11_CoCe20,11_CoCe20,Usera,Orcasur,Orcasur,"Calle de Eduardo Barreiros, 2",Calle de Eduardo Barreiros,CalledeEduardoBarreiros,1,50,50,50,1,2,2,ENDESA X SERVICIOS S.L.,2022-02-03T15:21:24Z,24
Punto de carga 05_CoCe20,05_CoCe20,Tetuán,Cuatro Caminos,CuatroCaminos,"Avenida del General Perón, 21",Avenida del General Perón,AvenidadelGeneralPerón,1,50,50,50,1,2,2,ENDESA X SERVICIOS S.L.,2022-02-03T15:21:24Z,24
Punto de carga 12_CoCe20,12_CoCe20,Usera,Orcasur,Orcasur,Avenida de Andalucía 38,Avenida de Andalucía,AvenidadeAndalucía,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 18_CoCe20,18_CoCe20,Hortaleza,Apostol Santiago,ApostolSantiago,"Avenida de San Luis, 77",Avenida de San Luis,AvenidadeSanLuis,1,50,50,50,1,2,2,NATURGY,2022-02-03T15:21:24Z,de 6:00 a 00:00 h
Punto de carga 20_CoCe20,20_CoCe20,Villa de Vallecas,Casco Histórico de Vallecas,CascoHistóricodeVallecas,Atolón 98,Atolón,Atolón,3,50,50,50,1,2,2,DRIVE THE CITY,2022-02-03T15:21:24Z,24
Punto de carga 15_CoCe20,15_CoCe20,Ciudad Lineal,Ventas,Ventas,"Calle Ricardo Ortiz, 44",Calle Ricardo Ortiz,CalleRicardoOrtiz,1,50,50,50,1,2,2,Sudel,2022-02-03T15:21:24Z,24
Punto de carga 17_CoCe20,17_CoCe20,Ciudad Lineal,Colina,Colina,"Calle Arturo Soria, 175",Calle Arturo Soria,CalleArturoSoria,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 16_CoCe20,16_CoCe20,Ciudad Lineal,San Pascual,SanPascual,Calle Verdaguer y García 5,Calle Verdaguer y García,CalleVerdagueryGarcía,1,50,50,50,1,2,2,ENDESA X SERVICIOS S.L.,2022-02-03T15:21:24Z,24
Punto de carga 14_CoCe20,14_CoCe20,Moratalaz,Marroquina,Marroquina,Corregidor Sancho de Córdoba,Corregidor Sancho de Córdoba,CorregidorSanchodeCórdoba,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 23_CoCe20,23_CoCe20,Villa de Vallecas,Casco Histórico de Vallecas,CascoHistóricodeVallecas,"Avenida Mayorazgo, 20",Avenida Mayorazgo,AvenidaMayorazgo,1,50,50,50,1,2,2,GALP,2022-02-03T15:21:24Z,24
Punto de carga 27_CoCe20,27_CoCe20,San Blas - Canillejas,Simancas,Simancas,"Avenida Arcentales, 7",Avenida Arcentales,AvenidaArcentales,1,50,50,50,1,2,2,GALP,2022-02-03T15:21:24Z,24
Punto de carga 26_CoCe20,26_CoCe20,San Blas - Canillejas,Simancas,Simancas,Calle de Alcalá 510,Calle de Alcalá,CalledeAlcalá,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 28_CoCe20,28_CoCe20,San Blas - Canillejas,Arcos,Arcos,"Avenida Canillejas a Vicálvaro, 80",Avenida Canillejas a Vicálvaro,AvenidaCanillejasaVicálvaro,1,50,50,50,1,2,2,GALP,2022-02-03T15:21:24Z,24
Punto de carga 29_CoCe20,29_CoCe20,San Blas - Canillejas,Rosas,Rosas,"Avenida Canillejas a Vicálvaro, 147",Avenida Canillejas a Vicálvaro,AvenidaCanillejasaVicálvaro,1,50,50,50,1,2,2,Cerdeira,2022-02-03T15:21:24Z,24
Punto de carga 24_CoCe20,24_CoCe20,Villa de Vallecas,Ensanche de Vallecas,EnsanchedeVallecas,Calle Alto del Retiro,Calle Alto del Retiro,CalleAltodelRetiro,1,50,50,50,1,2,2,ENDESA X SERVICIOS S.L.,2022-02-03T15:21:24Z,24
Punto de carga 30_CoCe20,30_CoCe20,San Blas - Canillejas,Rejas,Rejas,"Calle Deyanira, 10",Calle Deyanira,CalleDeyanira,1,50,50,50,1,2,2,NATURGY,2022-02-03T15:21:24Z,24
Punto de carga 31_CoCe20,31_CoCe20,San Blas - Canillejas,Rejas,Rejas,"Calle Nanclares de Oca, 5-17",Calle Nanclares de Oca,CalleNanclaresdeOca,2,50,50,50,1,2,2,IBERDROLA,2022-02-03T15:21:24Z,24
Punto de carga 21_CoCe20,21_CoCe20,Villa de Vallecas,Casco Histórico de Vallecas,CascoHistóricodeVallecas,"Avenida Eje Central, 7",Avenida Eje Central,AvenidaEjeCentral,1,50,50,50,1,2,2,NATURGY,2022-02-03T15:21:24Z,24
Punto de carga 01_VP,01_VP,Centro,Justicia,Justicia,Calle Génova 24,Calle Génova,CalleGénova,1,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,24
Punto de carga 31_PropDG,31_PropDG,Villaverde,San Cristóbal,SanCristóbal,Calle Godella 116,Calle Godella,CalleGodella,3,22,"100, 50","100, 50",1,3,3,TOTALENERGIES,2022-02-03T15:21:24Z,24
Punto de carga 26_VP,26_VP,Salamanca,Guindalera,Guindalera,"Calle Roberto Domingo, 4",Calle Roberto Domingo,CalleRobertoDomingo,2,22,"150, 50","150, 50",1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 12_PRIV,12_PRIV,Tetuán,Almenara,Almenara,"Calle San Aquilino, 1 B",Calle San Aquilino,CalleSanAquilino,2,,50,50,0,2,2,IBERDROLA,2022-02-03T15:21:24Z,24
Punto de carga 13_PRIV,13_PRIV,Chamartín,Prosperidad,Prosperidad,Avenida de América 9,Avenida de América,AvenidadeAmérica,2,,50,50,0,2,2,IBERDROLA,2022-02-03T15:21:24Z,24
Punto de carga 7_MerM,7_MerM,Villa de Vallecas,Casco Histórico de Vallecas,CascoHistóricodeVallecas,Avenida de Madrid,Avenida de Madrid,AvenidadeMadrid,2,50,50,50,1,2,2,,2022-06-17T07:19:00Z,24
Punto de carga 1_CoCe22,1_CoCe22,Fuencarral - El Pardo,Pilar,Pilar,"Avenida de Monforte de Lemos, 36",Avenida de Monforte de Lemos,AvenidadeMonfortedeLemos,2,22,50,50,1,2,2,CC LA VAGUADA,2022-06-17T11:04:15Z,de 6:00h a 1:00h
Punto de carga 8_MerM,8_MerM,Villa de Vallecas,Casco Histórico de Vallecas,CascoHistóricodeVallecas,Avenida de Madrid,Avenida de Madrid,AvenidadeMadrid,1,,150,150,0,1,1,,2022-06-17T07:22:02Z,24
Punto de carga 2_CoCe22,2_CoCe22,Fuencarral - El Pardo,El Goloso,ElGoloso,CAMPUS CANTOBLANCO,CAMPUS CANTOBLANCO,CAMPUSCANTOBLANCO,2,22,50,50,1,2,2,UAM,2022-06-17T11:12:42Z,24
Punto de carga 5_CoCe22,5_CoCe22,Barajas,Corralejos,Corralejos,Vía Dublín,Vía Dublín,VíaDublín,2,22,50,50,1,2,2,BLAUDRIVE,2022-06-24T06:57:35Z,de 7:30h a 21:00h
Punto de carga 8_CoCe22,8_CoCe22,Usera,Moscardó,Moscardó,"Calle Amparo Usera, 46",Calle Amparo Usera,CalleAmparoUsera,1,22,50,50,1,2,2,BLAUDRIVE,2022-06-24T07:05:24Z,24
Punto de carga 16_CoCe22,16_CoCe22,Latina,Aluche,Aluche,Carretera de Extremadura,Carretera de Extremadura,CarreteradeExtremadura,1,50,50,50,1,2,2,REPSOL,2022-06-24T07:49:04Z,24
Punto de carga 29_CoCe22,29_CoCe22,Ciudad Lineal,San Juan Bautista,SanJuanBautista,"Calle de Ramírez de Arellano, 2",Calle de Ramírez de Arellano,CalledeRamírezdeArellano,1,22,50,50,1,2,2,ENDESA X SERVICIOS S.L.,2022-08-23T07:30:47Z,24
Punto de carga 34_CoCe22,34_CoCe22,Salamanca,Castellana,Castellana,"Calle Serrano, 61",Calle Serrano,CalleSerrano,1,22,50,50,1,2,2,ENDESA X SERVICIOS S.L.,2022-08-23T07:40:46Z,24
Punto de carga 14_PRIV,14_PRIV,Villa de Vallecas,Casco Histórico de Vallecas,CascoHistóricodeVallecas,Calle 29,Calle,Calle,1,,,180,0,0,2,DRIVE THE CITY,2022-04-28T12:46:34Z,24
Punto de carga 3_CoCe22,3_CoCe22,Fuencarral - El Pardo,El Goloso,ElGoloso,CAMPUS CANTOBLANCO,CAMPUS CANTOBLANCO,CAMPUSCANTOBLANCO,2,22,50,50,1,2,2,UAM,2022-06-17T11:14:10Z,24
Punto de carga 6_CoCe22,6_CoCe22,Puente de Vallecas,San Diego,SanDiego,"Calle Martínez de la Riva, 4",Calle Martínez de la Riva,CalleMartínezdelaRiva,1,22,50,50,1,2,2,BLAUDRIVE,2022-06-24T07:01:08Z,de 9:00h a 21:30h
Punto de carga 20_CoCe22,20_CoCe22,Chamartín,El Viso,ElViso,Calle María de Molina 21,Calle María de Molina,CalleMaríadeMolina,1,50,50,50,1,2,2,REPSOL,2022-06-24T07:57:55Z,24
Punto de carga 05_EMT,05_EMT,Centro,Sol,Sol,Calle de Alcalá 17,Calle de Alcalá,CalledeAlcalá,12,"400, 200, 50","400, 200, 50","400, 200, 50",3,24,24,EMT,2022-12-20T08:04:03Z,24
Punto de carga 33_CoCe20,33_CoCe20,Fuencarral - El Pardo,Peñagrande,Peñagrande,Avenida del Cardenal Herrera Oria 290,Avenida del Cardenal Herrera Oria,AvenidadelCardenalHerreraOria,1,50,50,50,1,2,2,REPSOL,2023-02-27T12:05:31Z,24
Punto de carga 06_EMT,06_EMT,Salamanca,Recoletos,Recoletos,Paseo Recoletos 4,Paseo Recoletos,PaseoRecoletos,2,50,50,50,1,2,2,EMT,2024-06-24T07:16:21Z,24
