"property","value"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Adriano_Sánchez_Roa"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Adrián_Ward"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Agustín_Haya_de_la_Torre_de_la_Rosa"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Agustín_Molina_Martínez"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Ahmed_Hilmi_Pasha"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Aileen_Baviera"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Aisha_Musa_el-Said"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Akua_Asabea_Ayisi"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Alain_Vivien"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Alaiza_Pashkevich"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Aptripel_Tumimomor"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Arancha_González_Laya"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Archer_Blood"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Ariela_Luna"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Arnulfo_Gasca_Trujillo"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Arturo_Zúñiga"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Ascensión_Pastor_Parres"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Ashok-Alexander_Sridharan"
"http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Aslan_Bzhania"
"http://xmlns.com/foaf/0.1/name","Adriano Sánchez Roa"
"http://xmlns.com/foaf/0.1/name","Adrián Ward"
"http://xmlns.com/foaf/0.1/name","Agustín Molina Martínez"
"http://xmlns.com/foaf/0.1/name","Ahmed Hilmi Abd al-Baqi"
"http://xmlns.com/foaf/0.1/name","Akua Asabea Ayisi"
"http://xmlns.com/foaf/0.1/name","Aptripel Tumimomor"
"http://xmlns.com/foaf/0.1/name","En el cargo"
"http://xmlns.com/foaf/0.1/name","Arancha González"
"http://xmlns.com/foaf/0.1/name","Archer Kent Blood"
"http://xmlns.com/foaf/0.1/name","Ariela Luna"
"http://xmlns.com/foaf/0.1/name","Arnulfo Gasca Trujillo"
"http://xmlns.com/foaf/0.1/name","Arturo Zúñiga Jory"
"http://xmlns.com/foaf/0.1/name","Aslan Bzhania"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Adame_Ba_Konaré"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Museo_de_la_Mujer_Muso_Kunda"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Adriano_Sánchez_Roa"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Adrián_Ward"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Domingo_Almenara_Butler"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Agustin_Haya_de_la_Torre"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Agustín_Haya_de_la_Torre"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Agustín_Haya_de_la_Torre_de_la_Rosa"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Defensor_Sporting_Club_(juveniles)"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Agustín_Molina"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Agustín_Molina_Martínez"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Amin_al-Husayni"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Gobierno_del_Protectorado_de_Toda_Palestina"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Protectorado_de_Toda_Palestina"
"http://xmlns.com/foaf/0.1/topic","http://dbpedia.org/resource/Ahmed_Hilmi_Pasha"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Ahmed_Hilmi_Pasha"
"http://xmlns.com/foaf/0.1/topic","http://es.dbpedia.org/resource/Aileen_San_Pablo_Baviera"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Aileen_Baviera"
"http://xmlns.com/foaf/0.1/topic","http://dbpedia.org/resource/Aisha_Musa_el-Said"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Aisha_Musa_el-Said"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Akua_Asabea_Ayisi"
"http://xmlns.com/foaf/0.1/topic","http://dbpedia.org/resource/Alain_Vivien"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Alain_Vivien"
"http://xmlns.com/foaf/0.1/topic","http://dbpedia.org/resource/Alaiza_Pashkevich"
"http://xmlns.com/foaf/0.1/topic","http://es.wikipedia.org/wiki/Alaiza_Pashkevich"
