id_station,station_name,latitude,longitude,address,type
113.0,107 - Columela,-3.6884369,40.4215246,'Calle Serrano nº 8',STATION
114.0,108 - Mártires Concepcionistas,-3.6706024,40.4273005,'Calle Mártires Concepcionistas nº 2',STATION
115.0,109 - Marqués de Salamanca,-3.6816402,40.4300481,'Calle José Ortega y Gasset nº 30',STATION
116.0,110 - Moncloa,-3.7200845,40.4347895,'Paseo de Moret nº 2',STATION
117.0,111a - Arcipreste de Hita A,-3.7175435,40.4337322,'Calle Arcipreste de Hita nº 12',STATION
118.0,111b - Arcipreste de Hita B,-3.7179687,40.4341006,'Calle Arcipreste de Hita nº 12',STATION
119.0,112 - Paseo de Moret,-3.7246532,40.4325991,'Paseo de Moret nº 11',STATION
120.0,113 - Pintor Rosales,-3.7205129,40.427657,'Paseo del Pintor Rosales frente al nº 38',STATION
121.0,114 - Quintana,-3.7174158,40.4277456,'Calle Quintana nº 11',STATION
122.0,115 - Ferraz,-3.7170448,40.4253944,'Calle Evaristo San Miguel nº 2',STATION
123.0,116a - Plaza de España A,-3.713053,40.423668,'Calle Princesa nº 5',STATION
124.0,116b - Plaza de España B,-3.710537,40.423681,'Calle Princesa nº 5',STATION
125.0,117 - Altamirano,-3.7188898,40.4309797,'Calle Altamirano nº 24',STATION
126.0,118 - Juan Martín,-3.6882407,40.400781,'Calle Juan Martín el Empecinado nº 16',STATION
127.0,119 - Méndez Álvaro,-3.6863218,40.4013216,'Calle Méndez Álvaro nº 11',STATION
128.0,120 - Palos de la Frontera,-3.6944768,40.4032208,'Calle Palos de la Frontera nº 27',STATION
129.0,121 - Santa María de la Cabeza,-3.6987665,40.4017926,'Paseo de Santa María de la Cabeza nº 58',STATION
130.0,122 - Santa Engracia 14,-3.6967169,40.4291992,'Calle Santa Engracia nº 14',STATION
131.0,123 - Guzmán el Bueno,-3.7133412,40.4306458,'Calle Guzmán el Bueno nº 1',STATION
132.0,161 - Paseo de la Florida,-3.7224983,40.4219665,'Paseo de la Florida nº 8',STATION
133.0,162 - Metro Pirámides,-3.7108108,40.4034076,'Paseo de los Olmos nº 28',STATION
134.0,163 - Paseo de la Esperanza,-3.7064516,40.4035988,'Paseo de la Esperanza nº 2',STATION
135.0,165 - Entrada Matadero,-3.6975708,40.3928821,'Paseo de la Chopera nº 14',STATION
136.0,164 - Paseo de las Delicias,-3.6945025,40.3972616,'Paseo de las Delicias nº 92',STATION
137.0,157 - Castellana 164,-3.6894151,40.4591366,'Paseo de la Castellana nº 164',STATION
138.0,158 - Alberto Alcocer,-3.684715,40.4585318,'Avenida de Alberto Alcocer nº 22',STATION
139.0,155 - San Germán 57,-3.7009675,40.4572824,'Calle San Germán nº 57',STATION
140.0,156 - Sor Ángela de la Cruz,-3.691533,40.4592351,'Calle Sor Ángela de la Cruz nº 2',STATION
141.0,154 - Orense 36,-3.6946218,40.4548456,'Calle Orense nº 36',STATION
144.0,148 - Serrano 210,-3.6817962,40.4510188,'Calle Serrano nº 210',STATION
145.0,151 - Orense 12,-3.6952943,40.4489101,'Calle Orense nº 12',STATION
146.0,149 - Paseo de la Habana 42,-3.6881689,40.4498613,'Paseo de la Habana nº 42',STATION
147.0,150 - Castellana frente a Hermanos Pinzón,-3.6905604,40.4488924,'Paseo de la Castellana nº 122',STATION
148.0,147 - Doctor Arce 45,-3.6797296,40.4483269,'Avenida del Doctor Arce nº 45',STATION
149.0,132 - Glorieta de los Cuatro Caminos,-3.7036675,40.4463667,'Calle Santa Engracia nº 168',STATION
150.0,133 - Raimundo Fernández,-3.7001669,40.447125,'Calle Raimundo Fernández Villaverde nº 33',STATION
151.0,136 - Castellana 106,-3.690861,40.4453307,'Paseo de la Castellana nº 106',STATION
152.0,137 - Plaza de la República Argentina,-3.6853312,40.445411,'Plaza de la República Argentina nº 6',STATION
153.0,134 - Agustín de Betancourt,-3.6956047,40.4440297,'Calle María de Guzmán nº 58',STATION
154.0,138 - Paseo de la Castellana con Raimundo Fernández,-3.6917932,40.4457414,'Paseo de la Castellana esquina calle Raimundo Fernández Villaverde',STATION
155.0,146 - María Francisca 1,-3.6787169,40.4442258,'Calle María Francisca nº 1',STATION
156.0,131 - Bravo Murillo 44,-3.7040344,40.4418402,'Calle Bravo Murillo nº 44',STATION
157.0,130 - Santa Engracia 127,-3.70164,40.44156,'Calle Santa Engracia nº 127',STATION
158.0,135 - Plaza de San Juan de la Cruz,-3.6927821,40.4415974,'Plaza de San Juan de la Cruz nº 11',STATION
159.0,139 - José Gutiérrez Abascal,-3.6907784,40.4396792,'Calle José Gutiérrez Abascal nº 2',STATION
160.0,128 - Cea Bermúdez,-3.7154329,40.438994,'Calle Cea Bermúdez nº 59',STATION
161.0,129 - José Abascal,-3.6982353,40.4383865,'Calle José Abascal nº 33',STATION
162.0,140 - Velázquez 130,-3.6831578,40.4385127,'Calle Velázquez nº 130',STATION
163.0,126 - General Álvarez de Castro,-3.7015686,40.4344731,'Calle del General Álvarez de Castro nº 1',STATION
164.0,125 - General Martínez Campos,-3.6948626,40.435285,'Calle Fernández de la Hoz nº 29',STATION
165.0,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,-3.6892368,40.4355143,'Paseo de la Castellana nº 43',STATION
166.0,143 - Diego de León 52,-3.678492,40.4345973,'Calle Diego de León nº 52',STATION
167.0,142 - Castellana 42,-3.6879154,40.4334087,'Paseo de la Castellana nº 42',STATION
168.0,127 - Fernando el Católico,-3.708439,40.4338516,'Calle Fernando el Católico nº 19',STATION
169.0,124 - Manuel Silvela,-3.6993465,40.4309524,'Calle Manuel Silvela nº 20',STATION
170.0,144 - Juan Bravo 50,-3.6758555,40.4323655,'Calle Juan Bravo nº 50',STATION
171.0,145 - Ortega y Gasset 87,-3.6712823,40.429887,'Calle Ortega y Gasset nº 87',STATION
172.0,160 - Colombia,-3.6763439,40.4572466,'Calle Colombia nº 7',STATION
173.0,159 - Paseo de la Habana 63,-3.6835926,40.4543852,'Paseo de la Habana nº 63',STATION
174.0,166 - Segovia 26,-3.7135833,40.4138333,'Calle Segovia nº 26',STATION
175.0,167 - Segovia 45,-3.717487,40.413736,'Calle Segovia nº 45',STATION
176.0,168 - Batalla del Salado,-3.6959166,40.4044722,'Paseo Santa María de la Cabeza nº 29',STATION
177.0,169 - Pirámides,-3.7138055,40.4016111,'Calle Toledo nº 181',STATION
178.0,170 - Paseo de la Esperanza,-3.7043611,40.401,'Paseo de la Esperanza nº 21',STATION
179.0,171 - Embajadores-Cáceres,-3.6983888,40.39975,'Calle Embajadores nº 101',STATION
180.0,172 - Delicias,-3.6935833,40.4008888,'Calle Bustamante nº 1',STATION
181.0,173 - Puente Praga,-3.7023918,40.3981798,'Paseo de la Esperanza nº 59',STATION
182.0,174 - Madrid Río-Yeserías,-3.7065277,40.3974444,'Paseo de Yeserías nº 45',STATION
183.0,175 - Jaime el Conquistador,-3.6983055,40.3962222,'Calle Jaime el Conquistador nº 30',STATION
184.0,176 - Beata,-3.6937222,40.39425,'Calle Alicante nº 3',STATION
185.0,177 - Legazpi,-3.6941944,40.3914722,'Calle Bolívar nº 3',STATION
186.0,178 - Junta Municipal Retiro,-3.6788343,40.4029202,'Calle León Gil de Palacio nº 3',STATION
187.0,179 - Puente de Vallecas,-3.66925,40.3979722,'Avenida de la Albufera nº 6',STATION
188.0,180 - Méndez Álvaro,-3.6758888,40.3941388,'Calle Retama nº 5',STATION
189.0,181 - Retiro-Ibiza,-3.6766111,40.41825,'Calle Ibiza nº 18',STATION
190.0,182 - Parque Roma,-3.6657777,40.4186666,'Calle Alcalde Sáinz de Baranda frente al nº 107',STATION
191.0,183 - Doctor Esquerdo-Hermosilla,-3.669339,40.425635,'Calle Hermosilla nº 135',STATION
192.0,184 - Marqués de Zafra,-3.6653055,40.426,'Paseo Marqués de Zafra nº 24',STATION
193.0,185 - Quinta Fuente del Berro,-3.6615277,40.4250833,'Calle Sancho Dávila esquina Paseo Marqués de Zafra',STATION
194.0,186 - General Pardiñas,-3.6782777,40.4290555,'Calle General Pardiñas nº 56',STATION
195.0,187 - Alcalá-Ventas,-3.6638888,40.4301666,'Calle Alejandro González nº 1',STATION
196.0,188 - Puente de Ventas,-3.6590555,40.4311944,'Avenida de Daroca nº 2',STATION
197.0,189 - Avenida Donostiarra,-3.6554918,40.4351256,'Calle Virgen de la Alegría nº 18',STATION
198.0,190 - Velázquez-Diego de León,-3.6835833,40.4343333,'Calle Velázquez nº 91',STATION
199.0,191 - Diego de león,-3.674,40.4346388,'Calle Alonso Heredia nº 1',STATION
200.0,192 - Avenida de los Toreros,-3.6714166,40.4318611,'Avenida de los Toreros nº 3',STATION
201.0,193 - Ventas,-3.6655555,40.4324722,'Avenida de los Toreros nº 49',STATION
202.0,194 - Avenida de América 2,-3.6772222,40.43725,'Calle Francisco Silvela nº 86',STATION
203.0,195 - Avenida de América 1,-3.6754444,40.4392222,'Calle Padre Indalecio Hernández nº 1',STATION
204.0,196 - Prosperidad,-3.6751388,40.4441388,'Calle Suero de Quiñones nº 2',STATION
205.0,197 - Parque Berlín,-3.6780555,40.4515833,'Avenida de Concha Espina nº 34',STATION
206.0,198 - Rubén Darío,-3.6915555,40.4331111,'Glorieta Rubén Darío 2',STATION
207.0,199 - Fernando el Católico,-3.7149166,40.4343611,'Calle Fernando el Católico nº 61',STATION
208.0,200 - Quevedo,-3.7046666,40.4336944,'Glorieta de Quevedo nº 5',STATION
209.0,201 - Canal,-3.7038333,40.4386944,'Calle José Abascal frente al nº 2',STATION
210.0,202 - Parque Santander,-3.7080833,40.4411388,'Calle Santander esquina con Avenida de Filipinas',STATION
211.0,203 - San Francisco de Sales,-3.7144722,40.44175,'Calle General Ampudia nº 2',STATION
212.0,204 - Cuatro Caminos 2,-3.7041666,40.4476666,'Calle Doctor Santero nº 1',STATION
213.0,205 - Estrecho,-3.7032777,40.4535,'Calle Navarra nº 1',STATION
214.0,206 - Metro Tetuán,-3.6989925,40.4607502,'Calle Marqués de Viana nº 3',STATION
215.0,207 - Remonta,-3.6973333,40.4630277,'Calle Azucenas nº 1',STATION
216.0,208 - Plaza de Castilla,-3.6886388,40.4663611,'Paseo de la Castellana nº 216',STATION
217.0,209 - Plaza de Castilla 2,-3.6887722,40.4656779,'Paseo Castellana (Fundación Canal)',STATION
218.0,210 - Tres Cruces,-3.7026735,40.419674,'Calle Tres Cruces nº 7',STATION
219.0,211 - Desengaño,-3.70239,40.42059,'Calle Desengaño nº 1',STATION
220.0,212 - Marqués de Vadillo,-3.716591,40.398247,'Glorieta Marqués de Vadillo nº 9',STATION
221.0,213 - Glorieta de Cádiz,-3.70017,40.38895,'Calle Antonio López nº 129',STATION
222.0,214 - Condesa de Venadito,-3.65741,40.44315,'Calle Condesa de Venadito nº 2',STATION
223.0,215 - Gutierre de Cetina,-3.640994,40.429706,'Calle Gutierre de Cetina nº 77',STATION
224.0,216 - Puerta del Ángel,-3.728318,40.413764,'Plaza Puerta del Ángel nº 4',STATION
225.0,217 - Pedro Rico,-3.688463,40.481086,'Calle Pedro Rico nº 4',STATION
226.0,218 - Camino Vinateros,-3.65779,40.41053,'Calle Camino de los Vinateros nº 28',STATION
227.0,219 - Marroquina,-3.646697,40.408264,'Calle Camino de los Vinateros nº 108',STATION
228.0,220 - Plaza del Encuentro,-3.65122,40.40617,'Calle Arroyo de las Pilillas nº 6',STATION
229.0,221 - Pavones,-3.634587,40.400368,'Calle Hacienda de Pavones nº 342',STATION
