id_free_place,latitude,longitude,complete_address,postal_code,country,community of spain,province,address,city
FreePlace308,-3.7371649,40.4029316,"'28047,ES,Madrid,Madrid,Calle de Riocabado 1,Madrid'",28047,ES,Madrid,Madrid,Calle de Riocabado 1,Madrid
FreePlace309,-3.733755,40.4288633,"'28008,ES,Madrid,Madrid,Paseo del Comandante fortea 66,Madrid'",28008,ES,Madrid,Madrid,Paseo del Comandante fortea 66,Madrid
FreePlace310,-3.7288333,40.4089983,"'28011,ES,Madrid,Madrid,Calle de Caramuel 51,Madrid'",28011,ES,Madrid,Madrid,Calle de Caramuel 51,Madrid
FreePlace311,-3.719845,40.4347583,"'28008,ES,Madrid,Madrid,Paseo de Moret 1A,Madrid'",28008,ES,Madrid,Madrid,Paseo de Moret 1A,Madrid
FreePlace312,-3.6993866,40.4208583,"'28004,ES,Madrid,Madrid,Plaza de Pedro zerolo 14,Madrid'",28004,ES,Madrid,Madrid,Plaza de Pedro zerolo 14,Madrid
FreePlace313,-3.7165483,40.3981566,"'28019,ES,Madrid,Madrid,Glorieta Marqués de vadillo 9,Madrid'",28019,ES,Madrid,Madrid,Glorieta Marqués de vadillo 9,Madrid
FreePlace314,-3.70657,40.397435,"'28005,ES,Madrid,Madrid,Paseo Yeserías 45,Madrid'",28005,ES,Madrid,Madrid,Paseo Yeserías 45,Madrid
FreePlace315,-3.663745,40.4877216,"'28050,ES,Madrid,Madrid,Avenida de Manoteras 46B,Madrid'",28050,ES,Madrid,Madrid,Avenida de Manoteras 46B,Madrid
FreePlace316,-3.693615,40.4112733,"'28014,ES,Madrid,Madrid,Calle de la Alameda 16,Madrid'",28014,ES,Madrid,Madrid,Calle de la Alameda 16,Madrid
FreePlace317,-3.7004616,40.4267299,"'28004,ES,Madrid,Madrid,Calle de Churruca 1,Madrid'",28004,ES,Madrid,Madrid,Calle de Churruca 1,Madrid
FreePlace318,-3.6932133,40.41842,"'28014,ES,Madrid,Madrid,Paseo del Prado 1,Madrid'",28014,ES,Madrid,Madrid,Paseo del Prado 1,Madrid
FreePlace319,-3.66966,40.4155783,"'28007,ES,Madrid,Madrid,Calle del Doctor esquerdo 101,Madrid'",28007,ES,Madrid,Madrid,Calle del Doctor esquerdo 101,Madrid
FreePlace320,-3.6739183,40.4682666,"'28016,ES,Madrid,Madrid,Avenida de Pío xii 77,Madrid'",28016,ES,Madrid,Madrid,Avenida de Pío xii 77,Madrid
FreePlace321,-3.7333466,40.4332016,"'28008,ES,Madrid,Madrid,Avenida de Valladolid 83,Madrid'",28008,ES,Madrid,Madrid,Avenida de Valladolid 83,Madrid
FreePlace322,-3.6690883,40.4051833,"'28007,ES,Madrid,Madrid,Calle de Carlos y guillermo fernández shaw 1F,Madrid'",28007,ES,Madrid,Madrid,Calle de Carlos y guillermo fernández shaw 1F,Madrid
FreePlace323,-3.698985,40.4419116,"'28003,ES,Madrid,Madrid,Calle de Ríos rosas 30,Madrid'",28003,ES,Madrid,Madrid,Calle de Ríos rosas 30,Madrid
FreePlace324,-3.7009216,40.4573716,"'28020,ES,Madrid,Madrid,Calle de San germán 74,Madrid'",28020,ES,Madrid,Madrid,Calle de San germán 74,Madrid
FreePlace325,-3.7035133,40.445915,"'28003,ES,Madrid,Madrid,Calle de Santa engracia 179,Madrid'",28003,ES,Madrid,Madrid,Calle de Santa engracia 179,Madrid
FreePlace326,-3.6863066,40.49939,"'28034,ES,Madrid,Madrid,Calle de Nuestra señora de valverde 148,Madrid'",28034,ES,Madrid,Madrid,Calle de Nuestra señora de valverde 148,Madrid
FreePlace327,-3.7002283,40.3887216,"'28026,ES,Madrid,Madrid,Calle de Antonio lópez 168,Madrid'",28026,ES,Madrid,Madrid,Calle de Antonio lópez 168,Madrid
