ID_Punto,GESTIÓN,DISTRITO,COD_DIS,BARRIO,COD_BAR,ESTADO,UBICACIÓN,EMPLAZAMIENTO,INFO_ADICIONAL,N_EQUIPOS,CARACTERÍSTICAS_EQUIPO,OPERADOR,FECHA_APERTURA,FECHA_ALTA,FECHA_EDICION,HORARIO
22VP,Convenio vía pública,Chamberí,7,Trafalgar,3,Ejecutado,Calle Santa Engracia 115,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2021-03-31T22:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:53Z,24
23VP,Convenio vía pública,Chamberí,7,Almagro,4,Ejecutado,Paseo Castellana 33,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2019-05-09T22:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:53Z,24
24VP,Convenio vía pública,Fuencarral - El Pardo,8,La Paz,5,Ejecutado,Calle de Sinesio Delgado 2,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2021-01-30T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:53Z,24
25VP,Convenio vía pública,Ciudad Lineal,15,San Juan Bautista,6,Ejecutado,Calle Bueso Pineda 29,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2020-12-27T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:53Z,24
01CoCe18,Convenio cesión,Centro,1,Palacio,1,Ejecutado,Mercado de la Cebada. Plaza de la Cebada,Mercado municipal,Mercado municipal,1,50 kW 2 conectores CC (CCS/Chademo),DRIVE THE CITY,2020-05-11T00:00:00Z,2022-02-03T15:21:24Z,2023-08-09T11:31:29Z,24
02CoCe18,Convenio cesión,Chamartín,5,Nueva España,5,Ejecutado,"Calle Mateo Inurria, 4",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2021-02-25T00:00:00Z,2022-02-03T15:21:24Z,2022-06-13T10:09:09Z,24
03CoCe18,Convenio cesión,Tetuán,6,Berruguete,6,Ejecutado,"Calle Ofelia Nieto, 64",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2021-02-25T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:53Z,24
04CoCe18,Convenio cesión,Fuencarral - El Pardo,8,Valverde,6,Ejecutado,ES Repsol 96849 - Calle Abetal 8 - Las Tablas,Estación de servicio,-,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-05-19T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:51:45Z,24
05CoCe18,Convenio cesión,Moncloa - Aravaca,9,Ciudad Universitaria,3,Ejecutado,"ES Hipódromo(CR A-6, 8)",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2021-04-14T00:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:52:03Z,24
06CoCe18,Convenio cesión,Moncloa - Aravaca,9,El Plantío,6,Ejecutado,ES Aravaca - El Plantío (Avenida Victoria 34),Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2021-12-04T00:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:53:35Z,24
07CoCe18,Convenio cesión,Latina,10,Cuatro Vientos,6,Ejecutado,ES Repsol 33826 - Pº Extremadura 543 (A5 PK9),Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2021-07-04T00:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:54:41Z,24
08CoCe18,Convenio cesión,Latina,10,Cuatro Vientos,6,Ejecutado,"CRED PAU CARABANCHEL, Av. de la Peseta",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2021-01-05T00:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:56:12Z,24
09CoCe18,Convenio cesión,Latina,10,Águilas,7,Ejecutado,Mercado de las Águilas - Calle de José Cadalso,Mercado municipal,Mercado Municipal,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,DRIVE THE CITY,2021-10-15T00:00:00Z,2022-02-03T15:21:24Z,2023-08-09T11:32:05Z,24
10CoCe18,Convenio cesión,Puente de Vallecas,13,Palomeras Sureste,4,Ejecutado,Avenida de la Albufera 319,Aparcamiento,Aparcamiento privado rotación,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ECOLINERAS,2019-09-25T00:00:00Z,2022-02-03T15:21:24Z,2022-06-17T06:57:43Z,24
11CoCe18,Convenio cesión,Hortaleza,16,Valdefuentes,6,Ejecutado,Avenida María de Portugal 15,Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,IBERDROLA,2020-02-24T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,24
12CoCe18,Convenio cesión,Villaverde,17,Butarque,3,Ejecutado,"Avda. de los Rosales 147 M-301 km 4,1",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-07-14T22:00:00Z,2022-02-03T15:21:24Z,2022-07-15T07:01:45Z,24
13CoCe18,Convenio cesión,Villa de Vallecas,18,Ensanche de Vallecas,3,Ejecutado,"GPV-PAU VALLECAS-139, Calle Real de Arganda, 75",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2021-12-04T00:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:59:08Z,24
14CoCe18,Convenio cesión,San Blas - Canillejas,20,Rejas,6,Ejecutado,"ES Repsol Barajas II (CR N-2 P.K. 12,60 D)",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-03-20T23:00:00Z,2022-02-03T15:21:24Z,2023-07-09T12:00:21Z,24
01EMT,EMT,Centro,1,Sol,6,Ejecutado,Plaza de Jacinto Benavente 6,Aparcamiento,Aparcamiento público rotación. EMT,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,EMT,2018-03-16T00:00:00Z,2022-02-03T15:21:24Z,2023-08-09T10:36:52Z,24
