ID_Punto,GESTIÓN,DISTRITO,same_as_wikidata_distrito,COD_DIS,BARRIO,same_as_wikidata_barrio,COD_BAR,ESTADO,UBICACIÓN,EMPLAZAMIENTO,INFO_ADICIONAL,N_EQUIPOS,CARACTERÍSTICAS_EQUIPO,OPERADOR,FECHA_APERTURA,FECHA_ALTA,FECHA_EDICION,HORARIO
02CoCe18,Convenio cesión,Chamartín,https://wikidata.org/entity/Q1766348,5,Nueva España,https://wikidata.org/entity/Q10338128,5,Ejecutado,"Calle Mateo Inurria, 4",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2021-02-25T00:00:00Z,2022-02-03T15:21:24Z,2022-06-13T10:09:09Z,"24"
03CoCe18,Convenio cesión,Tetuán,https://wikidata.org/entity/Q1773540,6,Berruguete,https://wikidata.org/entity/Q11909208,6,Ejecutado,"Calle Ofelia Nieto, 64",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2021-02-25T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:53Z,"24"
04CoCe18,Convenio cesión,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,8,Valverde,https://wikidata.org/entity/Q31132,6,Ejecutado,ES Repsol 96849 - Calle Abetal 8 - Las Tablas,Estación de servicio,-,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-05-19T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:51:45Z,"24"
05CoCe18,Convenio cesión,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,9,Ciudad Universitaria,https://wikidata.org/entity/Q3319235,3,Ejecutado,"ES Hipódromo(CR A-6, 8)",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2021-04-14T00:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:52:03Z,"24"
06CoCe18,Convenio cesión,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,9,El Plantío,https://wikidata.org/entity/Q3773742,6,Ejecutado,ES Aravaca - El Plantío (Avenida Victoria 34),Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2021-12-04T00:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:53:35Z,"24"
07CoCe18,Convenio cesión,Latina,https://wikidata.org/entity/Q794954,10,Cuatro Vientos,https://wikidata.org/entity/Q5191881,6,Ejecutado,ES Repsol 33826 - Pº Extremadura 543 (A5 PK9),Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2021-07-04T00:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:54:41Z,"24"
08CoCe18,Convenio cesión,Latina,https://wikidata.org/entity/Q794954,10,Cuatro Vientos,https://wikidata.org/entity/Q5191881,6,Ejecutado,"CRED PAU CARABANCHEL, Av. de la Peseta",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2021-01-05T00:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:56:12Z,"24"
09CoCe18,Convenio cesión,Latina,https://wikidata.org/entity/Q794954,10,Las Águilas,https://wikidata.org/entity/Q5971372,7,Ejecutado,Mercado de las Águilas - Calle de José Cadalso,Mercado municipal,Mercado Municipal,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,DRIVE THE CITY,2021-10-15T00:00:00Z,2022-02-03T15:21:24Z,2023-08-09T11:32:05Z,"24"
10CoCe18,Convenio cesión,Puente de Vallecas,https://wikidata.org/entity/Q2003054,13,Palomeras Sureste,https://wikidata.org/entity/Q10343901,4,Ejecutado,Avenida de la Albufera 319,Aparcamiento,Aparcamiento privado rotación,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ECOLINERAS,2019-09-25T00:00:00Z,2022-02-03T15:21:24Z,2022-06-17T06:57:43Z,"24"
11CoCe18,Convenio cesión,Hortaleza,https://wikidata.org/entity/Q1928529,16,Valdefuentes,https://wikidata.org/entity/Q10388714,6,Ejecutado,Avenida María de Portugal 15,Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,IBERDROLA,2020-02-24T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,"24"
12CoCe18,Convenio cesión,Villaverde,https://wikidata.org/entity/Q919536,17,Butarque,https://wikidata.org/entity/Q390453,3,Ejecutado,"Avda. de los Rosales 147 M-301 km 4,1",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-07-14T22:00:00Z,2022-02-03T15:21:24Z,2022-07-15T07:01:45Z,"24"
13CoCe18,Convenio cesión,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,Ensanche de Vallecas,https://wikidata.org/entity/Q3847485,3,Ejecutado,"GPV-PAU VALLECAS-139, Calle Real de Arganda, 75",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2021-12-04T00:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:59:08Z,"24"
14CoCe18,Convenio cesión,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,20,Rejas,https://wikidata.org/entity/Q10359029,6,Ejecutado,"ES Repsol Barajas II (CR N-2 P.K. 12,60 D)",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-03-20T23:00:00Z,2022-02-03T15:21:24Z,2023-07-09T12:00:21Z,"24"
01EMT,EMT,Centro,https://wikidata.org/entity/Q1763376,1,Sol,https://wikidata.org/entity/Q2465181,6,Ejecutado,Plaza de Jacinto Benavente 6,Aparcamiento,Aparcamiento público rotación. EMT,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,EMT,2018-03-16T00:00:00Z,2022-02-03T15:21:24Z,2023-08-09T10:36:52Z,"24"
02EMT,EMT,Salamanca,https://wikidata.org/entity/Q1773521,4,Recoletos,https://wikidata.org/entity/Q3814551,1,Ejecutado,Jardines del Descubrimiento - Acceso a Complejo de Aparcamientos subterráneos por Calle de la Armada Española,Aparcamiento,Aparcamiento público rotación. EMT,4,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,EMT,2018-01-03T01:00:00Z,2022-02-03T15:21:24Z,2024-01-24T11:24:04Z,"24"
03EMT,EMT,Salamanca,https://wikidata.org/entity/Q1773521,4,Lista,https://wikidata.org/entity/Q4779,5,Ejecutado,Plaza de Marqués de Salamanca,Aparcamiento,Aparcamiento público rotación. EMT,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,EMT,2019-03-18T00:00:00Z,2022-02-03T15:21:24Z,2023-08-09T10:38:11Z,"24"
04EMT,EMT,Chamartín,https://wikidata.org/entity/Q1766348,5,Castilla,https://wikidata.org/entity/Q3813735,6,Ejecutado,Calle Hiedra 36,Aparcamiento,Aparcamiento público rotación. EMT,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,EMT,2018-10-16T00:00:00Z,2022-02-03T15:21:24Z,2023-12-21T08:04:25Z,"24"
01PRIV,Iniciativa privada,Centro,https://wikidata.org/entity/Q1763376,1,Palacio,https://wikidata.org/entity/Q2136510,1,Ejecutado,Plaza de la Cebada,Aparcamiento,Iniciativa privada,1,50 kW 2 conectores CC (CCS/Chademo),DRIVE THE CITY,2020-04-11T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,
02PRIV,Iniciativa privada,Centro,https://wikidata.org/entity/Q1763376,1,Universidad,https://wikidata.org/entity/Q10387767,5,Ejecutado,Calle Alberto Aguilera 9,Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo),REPSOL,2013-12-04T22:00:00Z,2022-02-03T15:21:24Z,2022-06-17T06:54:22Z,
03PRIV,Iniciativa privada,Retiro,https://wikidata.org/entity/Q2002296,3,Adelfas,https://wikidata.org/entity/Q3774001,2,Ejecutado,Plaza del Conde de Casal 6,Aparcamiento,Aparcamiento privado rotación. Iniciativa privada,2,50 kW 2 conectores CC (CCS/Chademo),DRIVE THE CITY,2020-04-11T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:54Z,
