PROVINCE,MUNICIPALITY,STATION_CODE,MAGNITUDE_CODE,TECHNIQUE,YEAR,MONTH,DAY,VALUE,VALID
28,79,16,14,6,2023,4,D01,83,true
28,79,16,14,6,2023,5,D01,81,true
28,79,16,14,6,2023,6,D01,74,true
28,79,16,14,6,2023,7,D01,65,true
28,79,16,14,6,2023,8,D01,111,true
28,79,16,14,6,2023,9,D01,64,true
28,79,16,14,6,2023,10,D01,58,true
28,79,16,14,6,2023,11,D01,33,true
28,79,16,14,6,2023,12,D01,55,true
28,79,17,7,8,2023,1,D01,56,true
28,79,17,7,8,2023,2,D01,115,true
28,79,17,7,8,2023,3,D01,11,true
28,79,17,7,8,2023,4,D01,3,true
28,79,17,7,8,2023,5,D01,1,true
28,79,17,7,8,2023,6,D01,2,true
28,79,17,7,8,2023,7,D01,2,true
28,79,17,7,8,2023,8,D01,3,true
28,79,17,7,8,2023,9,D01,18,true
28,79,17,7,8,2023,10,D01,35,true
28,79,17,7,8,2023,11,D01,3,false
28,79,17,7,8,2023,12,D01,7,true
28,79,17,8,8,2023,1,D01,60,true
28,79,17,8,8,2023,2,D01,74,true
28,79,17,8,8,2023,3,D01,41,true
28,79,17,8,8,2023,4,D01,13,true
28,79,17,8,8,2023,5,D01,11,true
28,79,17,8,8,2023,6,D01,25,true
28,79,17,8,8,2023,7,D01,18,true
28,79,17,8,8,2023,8,D01,23,true
28,79,17,8,8,2023,9,D01,51,true
28,79,17,8,8,2023,10,D01,62,true
28,79,17,8,8,2023,11,D01,14,false
28,79,17,8,8,2023,12,D01,29,true
28,79,17,12,8,2023,1,D01,146,true
28,79,17,12,8,2023,2,D01,250,true
28,79,17,12,8,2023,3,D01,59,true
28,79,17,12,8,2023,4,D01,17,true
28,79,17,12,8,2023,5,D01,13,true
28,79,17,12,8,2023,6,D01,28,true
28,79,17,12,8,2023,7,D01,21,true
28,79,17,12,8,2023,8,D01,27,true
28,79,17,12,8,2023,9,D01,78,true
28,79,17,12,8,2023,10,D01,115,true
28,79,17,12,8,2023,11,D01,18,false
28,79,17,12,8,2023,12,D01,39,true
28,79,17,14,6,2023,1,D01,12,true
28,79,17,14,6,2023,2,D01,17,true
28,79,17,14,6,2023,3,D01,47,true
28,79,17,14,6,2023,4,D01,81,true
28,79,17,14,6,2023,5,D01,85,true
28,79,17,14,6,2023,6,D01,79,true
28,79,17,14,6,2023,7,D01,66,true
28,79,17,14,6,2023,8,D01,92,true
28,79,17,14,6,2023,9,D01,56,true
28,79,17,14,6,2023,10,D01,37,true
28,79,17,14,6,2023,11,D01,39,true
28,79,17,14,6,2023,12,D01,55,true
28,79,18,7,8,2023,1,D01,27,true
28,79,18,7,8,2023,2,D01,38,true
28,79,18,7,8,2023,3,D01,10,true
28,79,18,7,8,2023,4,D01,2,true
28,79,18,7,8,2023,5,D01,1,true
28,79,18,7,8,2023,6,D01,2,true
28,79,18,7,8,2023,7,D01,2,true
28,79,18,7,8,2023,8,D01,1,true
28,79,18,7,8,2023,9,D01,5,true
28,79,18,7,8,2023,10,D01,5,true
28,79,18,7,8,2023,11,D01,18,true
28,79,18,7,8,2023,12,D01,2,true
28,79,18,8,8,2023,1,D01,41,true
28,79,18,8,8,2023,2,D01,54,true
28,79,18,8,8,2023,3,D01,34,true
28,79,18,8,8,2023,4,D01,8,true
28,79,18,8,8,2023,5,D01,9,true
